[TraceId: ] 2024-06-06 14:40:23.463 [main] INFO  com.quanxiaoha.weblog.web.WeblogWebApplication - Starting WeblogWebApplication using Java 1.8.0_311 on Laptop_fenxin with PID 15996 (E:\projects\weblog-springboot\weblog-web\target\classes started by 13284 in E:\projects\weblog-springboot)
[TraceId: ] 2024-06-06 14:40:23.464 [main] INFO  com.quanxiaoha.weblog.web.WeblogWebApplication - The following profiles are active: prod
[TraceId: ] 2024-06-06 14:40:23.992 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[TraceId: ] 2024-06-06 14:40:23.997 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[TraceId: ] 2024-06-06 14:40:23.998 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
[TraceId: ] 2024-06-06 14:40:24.045 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[TraceId: ] 2024-06-06 14:40:24.045 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 556 ms
[TraceId: ] 2024-06-06 14:40:24.262 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[TraceId: ] 2024-06-06 14:40:24.267 [main] INFO  com.quanxiaoha.weblog.web.WeblogWebApplication - Started WeblogWebApplication in 1.092 seconds (JVM running for 1.61)
[TraceId: ] 2024-06-06 14:42:10.535 [main] INFO  com.quanxiaoha.weblog.web.WeblogWebApplication - Starting WeblogWebApplication using Java 1.8.0_311 on Laptop_fenxin with PID 7288 (E:\projects\weblog-springboot\weblog-web\target\classes started by 13284 in E:\projects\weblog-springboot)
[TraceId: ] 2024-06-06 14:42:10.536 [main] INFO  com.quanxiaoha.weblog.web.WeblogWebApplication - The following profiles are active: prod
[TraceId: ] 2024-06-06 14:42:11.058 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[TraceId: ] 2024-06-06 14:42:11.064 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[TraceId: ] 2024-06-06 14:42:11.064 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
[TraceId: ] 2024-06-06 14:42:11.102 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[TraceId: ] 2024-06-06 14:42:11.102 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 542 ms
[TraceId: ] 2024-06-06 14:42:11.310 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[TraceId: ] 2024-06-06 14:42:11.316 [main] INFO  com.quanxiaoha.weblog.web.WeblogWebApplication - Started WeblogWebApplication in 1.061 seconds (JVM running for 1.575)
[TraceId: ] 2024-06-06 14:42:37.508 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[TraceId: ] 2024-06-06 14:42:37.508 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[TraceId: ] 2024-06-06 14:42:37.509 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
[TraceId: d4e7d09b-2360-46cd-8726-eb27df390826] 2024-06-06 14:42:37.632 [http-nio-8080-exec-2] INFO  c.q.weblog.common.aspect.ApiOperationLogAspect - ====== 请求开始: [测试接口], 入参: {"username":"admin","sex":1}, 请求类: TestController, 请求方法: test =================================== 
[TraceId: d4e7d09b-2360-46cd-8726-eb27df390826] 2024-06-06 14:42:37.640 [http-nio-8080-exec-2] INFO  c.q.weblog.common.aspect.ApiOperationLogAspect - ====== 请求结束: [测试接口], 耗时: 20ms, 出参: {"username":"admin","sex":1} =================================== 
[TraceId: ] 2024-06-06 14:43:34.199 [main] INFO  com.quanxiaoha.weblog.web.WeblogWebApplication - Starting WeblogWebApplication using Java 1.8.0_311 on Laptop_fenxin with PID 16200 (E:\projects\weblog-springboot\weblog-web\target\classes started by 13284 in E:\projects\weblog-springboot)
[TraceId: ] 2024-06-06 14:43:34.201 [main] INFO  com.quanxiaoha.weblog.web.WeblogWebApplication - The following profiles are active: prod
[TraceId: ] 2024-06-06 14:43:34.830 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[TraceId: ] 2024-06-06 14:43:34.836 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[TraceId: ] 2024-06-06 14:43:34.837 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
[TraceId: ] 2024-06-06 14:43:34.893 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[TraceId: ] 2024-06-06 14:43:34.893 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 666 ms
[TraceId: ] 2024-06-06 14:43:35.163 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[TraceId: ] 2024-06-06 14:43:35.168 [main] INFO  com.quanxiaoha.weblog.web.WeblogWebApplication - Started WeblogWebApplication in 1.316 seconds (JVM running for 2.272)
